2017
2017-03-06
2017-03-23
Pirmas;Pirmass;1995-03-15;199;Puolėjas;Rytas;Taip;Taip
Antras;Antrass;1996-05-06;180;Puolėjas;Neptūnas;Taip;Ne
Trečias;Trečiass;1992-01-25;199;Gynėjas;Rytas;Taip;Ne
Ketvirtas;Ketvirtass;1997-06-08;179;Puolėjas;Neptūnas;Taip;Ne
Penktas;Penktass;1999-09-10;160;Puolėjas;Kabelis;Taip;Ne
13;13s;1995-03-15;178;Puolėjas;Kabelis;Taip;Ne
Septintas;Septintass;1995-03-15;190;Gynėjas;Neptūnas;Taip;Taip
Aštuntas;Aštuntass;1995-03-15;199;Puolėjas;Neptūnas;Taip;Ne
14;14s;1995-03-15;186;Puolėjas;Kabelis;Taip;Ne
Vienuoliktas;Vienuoliktass;1995-03-15;196;Centras;Neptūnas;Taip;Ne
12;12s;1995-03-15;199;Centras;Kabelis;Taip;Ne
