| Trinity | 7 | 61,660000 | 642,686012 |
| Neal | 7 | 62,040000 | 648,898366 |
| Mariana | 7 | 50,390000 | 650,935512 |
| Katarina | 7 | 63,920000 | 655,097094 |
| Flossie | 7 | 71,650000 | 661,708086 |
| Harry | 7 | 73,720000 | 727,106012 |
| Erick | 7 | 64,400000 | 809,984545 |
| Nina | 7 | 72,550000 | 850,310402 |
| Allen | 10 | 50,860000 | 873,760070 |
| Kyla | 7 | 62,030000 | 897,014041 |
| Sigmund | 7 | 93,360000 | 901,162445 |
| Alison | 7 | 65,050000 | 917,159137 |
| ﻿Catherine | 7 | 89,630000 | 925,615512 |
| Keyshawn | 9 | 56,550000 | 979,035757 |
| Bruce | 9 | 63,660000 | 1084,161656 |
| Thad | 7 | 93,130000 | 1092,667469 |
| Camren | 7 | 90,160000 | 1103,369519 |
| Jovanny | 8 | 96,410000 | 1159,081752 |
| Aniyah | 11 | 67,660000 | 1219,128007 |
| Ransom | 12 | 59,770000 | 1225,266368 |
| Dwight | 13 | 54,700000 | 1359,578652 |
| Josefa | 14 | 89,110000 | 1743,264357 |
| Nasir | 12 | 92,360000 | 1756,371393 |
| Kirk | 13 | 93,620000 | 1936,161535 |
| Elody | 15 | 99,530000 | 2217,425845 |
